@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute inputs-101 numeric
@attribute inputs-102 numeric
@attribute inputs-103 numeric
@attribute inputs-104 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
1,'2018/02/22 16:13:48:669',1,1.096131,1.096131,1.096131,1.096131,1.096131,1.096131,1.096131,1.096131,2.375811,2.375811,2.375811,2.375811,2.375811,2.375811,2.375811,3.118417,3.118417,3.118417,3.118417,3.118417,3.095076,3.095076,3.095076,3.095076,2.074888,2.074888,2.074888,0.647629,0.647629,0.647629,1.997346,1.997346,2.774765,2.774765,2.626092,2.626092,1.839636,1.839636,0.830418,0.285814,0.285814,0.601434,0.68512,0.636429,0.613252,0.659083,0.733208,0.732792,0.600959,0.405511,0.267032,0.244126,0.249793,0.180268,0.102149,0.109722,0.215142,0.253844,0.217374,0.152144,0.243577,0.1908,0.165871,0.100521,0.031314,0.041984,0.107937,0.063648,0.059717,0.184465,0.188798,0.058271,0.102295,0.114609,0.06878,0.13289,0.102413,0.116478,0.082581,0.03777,0.060017,0.07102,0.031975,0.05223,0.031998,0.033829,0.010737,0.008856,0.011387,0.004959,0.008712,0.005605,0.00614,0.006251,0.005577,0.004438,0.004821,0.004343,0.004752,0.004335,0.003804,0.003321,0.004075,0.003281,?
2,'2018/02/22 16:13:48:683',1,0.409783,0.409783,0.409783,0.409783,0.409783,0.409783,0.409783,0.409783,0.802678,0.802678,0.802678,0.802678,0.802678,0.802678,0.802678,0.814354,0.814354,0.814354,0.814354,0.814354,0.608444,0.608444,0.608444,0.608444,0.558846,0.558846,0.558846,0.884538,0.884538,0.884538,1.076663,1.076663,0.934298,0.934298,0.76061,0.76061,1.082008,1.082008,1.35478,1.244326,1.244326,0.884255,0.666506,0.748541,0.813646,0.690151,0.43689,0.38116,0.500253,0.484794,0.319776,0.262421,0.362444,0.225609,0.088216,0.137987,0.30927,0.30812,0.229444,0.119157,0.195865,0.084689,0.036632,0.045729,0.078366,0.110765,0.100508,0.101841,0.066559,0.116596,0.055097,0.074821,0.047556,0.1306,0.053897,0.057305,0.039714,0.071178,0.063284,0.05694,0.033752,0.076727,0.061652,0.055162,0.029353,0.032306,0.006562,0.005438,0.008828,0.005462,0.00835,0.008283,0.00618,0.004676,0.005038,0.003606,0.005331,0.004043,0.003618,0.003858,0.003715,0.003342,0.003131,0.003288,?
3,'2018/02/22 16:13:48:700',1,2.029517,2.029517,2.029517,2.029517,2.029517,2.029517,2.029517,2.029517,3.858241,3.858241,3.858241,3.858241,3.858241,3.858241,3.858241,4.661339,4.661339,4.661339,4.661339,4.661339,4.330577,4.330577,4.330577,4.330577,2.903804,2.903804,2.903804,1.716495,1.716495,1.716495,3.850029,3.850029,6.286301,6.286301,8.509716,8.509716,10.27618,10.27618,11.315298,11.555529,11.555529,11.119045,10.237438,9.157533,8.047916,6.921565,5.63491,4.04979,2.348022,1.727597,2.42539,2.971116,2.731166,1.815978,0.976539,0.867802,1.017435,1.101255,1.059518,0.744731,0.189295,0.21216,0.325313,0.523257,0.639028,0.296706,0.374989,0.28087,0.130847,0.09728,0.206857,0.357958,0.271017,0.1002,0.081231,0.116701,0.237154,0.135823,0.097795,0.064453,0.11347,0.082521,0.047522,0.061119,0.050615,0.118427,0.012763,0.064,0.071601,0.021997,0.016156,0.006815,0.034329,0.026387,0.058632,0.018411,0.014866,0.012955,0.026765,0.043721,0.015772,0.010291,0.020543,0.033725,?
4,'2018/02/22 16:13:48:717',1,2.200679,2.200679,2.200679,2.200679,2.200679,2.200679,2.200679,2.200679,3.263717,3.263717,3.263717,3.263717,3.263717,3.263717,3.263717,4.386605,4.386605,4.386605,4.386605,4.386605,5.260493,5.260493,5.260493,5.260493,5.480833,5.480833,5.480833,4.808295,4.808295,4.808295,3.086034,3.086034,0.32808,0.32808,2.149649,2.149649,2.715292,2.715292,1.791028,2.085735,2.085735,3.29911,3.356811,2.578199,1.874956,1.489241,1.080776,0.732886,0.420779,0.212654,0.144116,0.242512,0.553532,0.476332,0.243131,0.089422,0.380501,0.55418,0.398802,0.694102,0.314869,0.099345,0.34872,0.298288,0.092489,0.094412,0.187725,0.154775,0.049525,0.063186,0.090539,0.147022,0.090155,0.086177,0.097493,0.151846,0.050753,0.071654,0.124704,0.118549,0.147205,0.127735,0.092748,0.068611,0.065611,0.033542,0.011029,0.017966,0.015698,0.013474,0.016664,0.01028,0.009183,0.008897,0.011361,0.008224,0.009698,0.00631,0.00806,0.008566,0.007147,0.006321,0.007244,0.006326,?
5,'2018/02/22 16:13:48:733',1,1.54367,1.54367,1.54367,1.54367,1.54367,1.54367,1.54367,1.54367,3.023652,3.023652,3.023652,3.023652,3.023652,3.023652,3.023652,2.471537,2.471537,2.471537,2.471537,2.471537,0.632245,0.632245,0.632245,0.632245,2.359938,2.359938,2.359938,3.724512,3.724512,3.724512,3.919353,3.919353,3.294401,3.294401,2.322373,2.322373,1.437155,1.437155,1.041296,1.256768,1.256768,1.51951,1.516394,1.237015,0.85303,0.58409,0.493003,0.577125,0.703607,0.747385,0.735064,0.713768,0.704149,0.831522,1.027407,1.16517,1.256299,1.147837,1.13061,0.938221,0.678685,0.508141,0.46888,0.391491,0.116076,0.336626,0.404316,0.481425,0.328331,0.204676,0.234184,0.191469,0.152159,0.098102,0.029839,0.096686,0.054023,0.064889,0.047319,0.072534,0.215316,0.087042,0.070472,0.064428,0.026178,0.041055,0.006955,0.007666,0.009097,0.015545,0.01706,0.017981,0.009678,0.01063,0.00516,0.010165,0.012217,0.007645,0.009481,0.004557,0.010048,0.006897,0.008066,0.006393,?
6,'2018/02/22 16:13:48:749',1,0.276494,0.276494,0.276494,0.276494,0.276494,0.276494,0.276494,0.276494,0.99157,0.99157,0.99157,0.99157,0.99157,0.99157,0.99157,1.779068,1.779068,1.779068,1.779068,1.779068,2.109701,2.109701,2.109701,2.109701,1.658622,1.658622,1.658622,0.648257,0.648257,0.648257,0.538309,0.538309,0.676525,0.676525,0.423629,0.423629,0.72909,0.72909,0.948984,0.993358,0.993358,1.131063,1.160148,0.870588,0.439105,0.46229,0.628619,0.611593,0.506016,0.423748,0.367078,0.265458,0.165043,0.180258,0.28718,0.292261,0.111949,0.239432,0.186046,0.203713,0.151833,0.07572,0.058806,0.124734,0.165723,0.048475,0.082021,0.076622,0.092432,0.121648,0.107156,0.110843,0.204945,0.078365,0.182066,0.300709,0.380569,0.350335,0.115062,0.062189,0.13329,0.050906,0.071944,0.054755,0.061441,0.068543,0.018778,0.029483,0.015093,0.010855,0.01396,0.009586,0.013189,0.010841,0.013483,0.006373,0.010188,0.006111,0.010415,0.007763,0.00886,0.004887,0.009276,0.005054,?
7,'2018/02/22 16:13:48:766',1,0.669103,0.669103,0.669103,0.669103,0.669103,0.669103,0.669103,0.669103,1.237129,1.237129,1.237129,1.237129,1.237129,1.237129,1.237129,1.274739,1.274739,1.274739,1.274739,1.274739,0.769818,0.769818,0.769818,0.769818,0.236987,0.236987,0.236987,0.776258,0.776258,0.776258,0.934493,0.934493,0.710958,0.710958,0.412152,0.412152,0.681325,0.681325,1.095735,1.283892,1.283892,1.141732,0.712942,0.221744,0.224546,0.308017,0.286398,0.302956,0.348894,0.355074,0.292395,0.207064,0.245964,0.247927,0.161631,0.077826,0.231049,0.2479,0.149906,0.231903,0.23639,0.198591,0.160921,0.08633,0.140616,0.109329,0.126053,0.102824,0.071037,0.075835,0.088291,0.11439,0.161828,0.110469,0.05057,0.096147,0.139914,0.067883,0.087346,0.062909,0.06918,0.087624,0.071413,0.027312,0.051546,0.019719,0.005327,0.009463,0.005984,0.00899,0.009391,0.004647,0.005699,0.003173,0.004626,0.005349,0.004698,0.003162,0.003198,0.003885,0.004364,0.002297,0.003074,0.003728,?
8,'2018/02/22 16:13:48:782',1,0.716178,0.716178,0.716178,0.716178,0.716178,0.716178,0.716178,0.716178,2.119863,2.119863,2.119863,2.119863,2.119863,2.119863,2.119863,2.68138,2.68138,2.68138,2.68138,2.68138,2.504354,2.504354,2.504354,2.504354,1.511042,1.511042,1.511042,0.078719,0.078719,0.078719,0.88711,0.88711,0.976921,0.976921,0.5123,0.5123,0.21263,0.21263,0.70179,1.098887,1.098887,1.320658,1.271561,0.947501,0.495203,0.210942,0.369035,0.48618,0.422469,0.251965,0.245119,0.2204,0.064688,0.083368,0.179754,0.398075,0.328644,0.065606,0.221675,0.526488,0.583628,0.26588,0.174893,0.151063,0.23894,0.278068,0.353594,0.10826,0.085026,0.131366,0.128745,0.048829,0.100768,0.096673,0.077177,0.160547,0.100536,0.155274,0.093986,0.05902,0.131466,0.106472,0.067438,0.046375,0.064131,0.03628,0.009064,0.01351,0.012,0.009903,0.009735,0.006921,0.011511,0.005695,0.008003,0.005633,0.007066,0.005968,0.005427,0.005161,0.005968,0.004989,0.004952,0.004839,?
9,'2018/02/22 16:13:48:799',1,0.573335,0.573335,0.573335,0.573335,0.573335,0.573335,0.573335,0.573335,0.711182,0.711182,0.711182,0.711182,0.711182,0.711182,0.711182,0.176086,0.176086,0.176086,0.176086,0.176086,0.875873,0.875873,0.875873,0.875873,1.698397,1.698397,1.698397,1.853238,1.853238,1.853238,1.411984,1.411984,0.851971,0.851971,0.611523,0.611523,0.92752,0.92752,1.355602,1.389953,1.389953,0.946656,0.244378,0.410492,0.65488,0.554432,0.29088,0.196583,0.335418,0.449267,0.524029,0.591833,0.632193,0.603974,0.484834,0.301179,0.180448,0.321748,0.360461,0.732951,1.063476,0.915062,0.506321,0.732449,0.334876,0.294068,0.406804,0.276271,0.241676,0.28114,0.349321,0.317291,0.116256,0.29416,0.19759,0.106448,0.286174,0.284518,0.310773,0.375159,0.275045,0.145477,0.211519,0.148338,0.057046,0.052791,0.019267,0.022824,0.028618,0.032884,0.016951,0.030815,0.012063,0.012153,0.013166,0.018933,0.014182,0.014194,0.011603,0.010868,0.01244,0.013588,0.010513,0.011065,?
10,'2018/02/22 16:13:48:816',1,0.717172,0.717172,0.717172,0.717172,0.717172,0.717172,0.717172,0.717172,1.079058,1.079058,1.079058,1.079058,1.079058,1.079058,1.079058,1.049862,1.049862,1.049862,1.049862,1.049862,0.644168,0.644168,0.644168,0.644168,0.300455,0.300455,0.300455,0.936365,0.936365,0.936365,1.440531,1.440531,1.733732,1.733732,1.800897,1.800897,1.502661,1.502661,0.739434,0.430127,0.430127,1.386617,1.886909,1.832907,1.316187,0.93468,1.283125,1.440943,1.087291,0.541549,0.728874,0.928526,0.805197,1.154619,1.073988,0.822306,0.674816,0.777383,1.142706,0.491158,0.851257,0.409209,0.25781,0.194197,0.158829,0.093843,0.095268,0.227993,0.216737,0.452184,0.853961,1.002404,0.578214,0.203503,0.261429,0.503448,0.555624,0.732755,0.545462,0.712375,0.696739,0.291982,0.313381,0.194756,0.168137,0.074637,0.032129,0.049195,0.051672,0.069952,0.041203,0.049047,0.033348,0.016959,0.026552,0.032037,0.023162,0.034037,0.015187,0.019121,0.019694,0.027604,0.014739,0.016146,?
